Type	Genus	Tube colour	Botanical name	Common name	States	NW	LE	NU	GT	FR	EA	EP	NL	MU	YP	SL	KI	SE	Height (m)	Spread (m)	Rain (mm)	Soil texture	Soil pH	Frost	Flower colour	Flower (time)	License	Attribution link	Attribution Label
Trees and Shrubs	Eucalyptus 	B	erythronema var marginata	red flowered mallee	W														4-8	3-4	350	"Sa, Lo, Cl"	ANC	M	R	"Sp, S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Eucalyptus 	B	fasciculosa	pink gum	"SA, V"									R		I	I	I	5-18	5-12	450	"Sa, Lo, Cl"	ANC	M	Cr	"S, A"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Eucalyptus 	B	flocktoniae	merrit	W														4-15	4-12	250	"Sa, Lo, Li"	ANC	R	Cr/Y	"W, Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Eucalyptus 	B	formanii	die hardy mallee	W														4-10	4-8	250	"Sa, Lo, Cl"	AN/C	M	W	"S, A"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Eucalyptus 	B	gardneri	blue mallet	W														6-14	4-6	400	"Sa, Lo, Cl"	ANC	R	Y	"A, W"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Eucalyptus 	B	gillii	Arkaroola mallee	"SA,N"		I			R	R		E						3-5	3-4	250	"Sa, Lo, Li"	ANC	R	Cr/Y	"W, Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Eucalyptus 	B	globulus	Tasmanian blue gum	"V, T"														15-50	10-20	700	"Sa, Lo, Cl"	AN/C	R	W	"W, Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Eucalyptus 	B	globulus 'Compacta'	bushy Tas.blue gum															10-15	6-12	700	"Sa,Lo,Cl"	AN/C	M	W	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Eucalyptus 	B	gomphocephala	tuart	W														10-20	7-15	600	"Sa,Lo,Cl,Li"	ANC	M	W	"S,A,W"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Eucalyptus 	B	goniocalyx ssp. goniocalyx	long-leaved box	"SA, N, V"					I			I			I			8-20	6-15	500	"Sa, Lo, Cl"	AN/C	M	W	S	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Eucalyptus 	B	gracilis 	yorrell	"SA, N,V,W"	R		R	I	R	I	I	R	I	I	V	V	I	3-9	3-8	200	"Sa, Lo, Li"	ANC	M	W	"A,W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Eucalyptus 	B	grandis	flooded gum	"Q,N"														20-40	15-20	700	"Lo, Cl"	AN	M	W	"W, Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Eucalyptus 	B	grossa	coarse-leaved mallee	W														2-5	2-6	350	"Sa, Lo,Cl"	AN/C	R	Y	"Sp, S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Eucalyptus 	B	gunnii	cider gum	T														10-20	6-10	650	"Lo, Cl"	AN	R	W	S	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Eucalyptus 	B	incrassata	ridge-fruited mallee	"SA,N,V,W"				R		V	R	R	R	I	I		I	3-7	3-6	350	"Sa, Lo"	ANC	M	Cr	"Sp, S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Eucalyptus 	B	intertexta	gum-barked coolabah	"SA,N,Q,W,NT"		I		R	R	R	R							8-15	6-12	350	"Lo, Cl, Li"	ANC	R	W	"A, W"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Eucalyptus 	B	kingsmillii ssp kingsmillii	Kingsmill mallee	W														4-8	3-6	300	"Sa, Lo"	ANC	R	"Y,Cr"	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Eucalyptus 	B	kondininensis	Kondinin blackbutt	W														8-15	5-10	350	"Lo, Cl"	ANC	R	Cr	S	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Eucalyptus 	B	kruseana	book-leaf mallee	W														2-6	3-6	250	"Sa, Cl/Lo"	AN/C	M	Y	"A, W"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Eucalyptus 	B	lansdowneana 	crimson mallee	SA							R							4-6	4-6	350	"Sa,Lo,Cl,Li"	ANC	R	R	"W, Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Eucalyptus 	B	largiflorens	river box	"SA,Q,N,V"		I				R		V	R	V	V		V	6-20	6-15	350	"Lo,Cl"	ANC	R	W	"Sp,S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Eucalyptus 	B	leptophylla	narrow-leaved red mallee	"SA,N,V,W"	I		R	R	R	R	I	R	I	R	R	R	I	2-6	3-8	200	"Sa,Lo,Li"	ANC	R	W	"A,W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Eucalyptus 	B	lesouefii	goldfield's blackbutt	W														10-12	8-10	250	"Sa, Lo, Cl"	ANC	M	Cr	"Sp, S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Eucalyptus 	B	leucoxylon ssp leucoxylon	S.A. blue gum	"SA,V"					R			R	R	E	I	I	I	8-30	8-25	500	"Sa,Lo, Cl"	ANC	R	"Cr,Pk,R"	"A, W"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Eucalyptus 	B	leucoxylon ssp megalocarpa	large-fruited SA.blue gum	"SA,V"													R	6-12	6-10	400	"Sa,Lo,Cl,Li"	ANC	R	"R,Pk,Cr"	"A,W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Eucalyptus 	B	leucoxylon ssp pruinosa	inland blue gum	"SA,V,N"					I	R		I	R	R	I		I	6-20	3-12	400	"Sa,Lo, Cl"	ANC	M	W	S	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Eucalyptus 	B	leucoxylon 'Rosea'	pink-flowered blue gum															8-20	8-18	500	"Lo, Cl"	ANC	R	"R,Pk"	"A,W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Eucalyptus 	B	leucoxylon ssp stephaniae	scrubby blue gum	"SA,V"									R				I	4-15	2-10	450	"Sa,Lo,Cl,Li"	ANC	R	"Pk,Cr"	"A,W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Eucalyptus 	B	macrandra	long-flowered marlock	W														3-7	3-6	500	"Sa, Lo,Cl"	ANC	M	Y	"S, A"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Eucalyptus 	B	macrocarpa ssp macrocarpa	rose of the west	W														2-4	4-6	400	"Sa, Lo"	AN/C	M	R	"Sp, S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Eucalyptus 	B	megacornuta	warty yate	W														7-15	7-10	400	"Sa, Lo, Cl"	AN/C	M	G	"W,Sp,S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Eucalyptus 	B	melanophloia	silver-leaved ironbark	"Q, N"														8-15	7-9	350	"Lo, Cl, Li"	ANC	M	W	"Sp, S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Eucalyptus 	B	melliodora	yellow box	"Q, N, V"														20-35	20-30	400	"Lo, Cl"	ANC	M	Cr	"Sp,S,A"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Eucalyptus 	B	microcarpa	grey box	"SA,Q,N,V"					R				R	E	I		V	6-20	8-20	500	"Lo, Cl, Li"	ANC	R	Cr	"S, W"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Eucalyptus 	B	microcorys	tallow wood	"Q, N"														15-30	8-20	600	"Sa, Cl, Lo"	AN/C	M	W	"Sp, S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Eucalyptus 	B	nicholii	willow peppermint	"Q, N"														8-18	6-10	650	"Sa,Lo, Cl"	ANC	R	W	A	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Eucalyptus 	B	obliqua	messmate stringybark	"SA,Q,N,V,T"											I	I	I	15-40	12-25	800	"Lo, Cl"	AN	M	W	S	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Eucalyptus 	B	occidentalis	flat-topped yate	W														10-20	8-16	450	"Sa,Cl,Lo"	ANC	R	"Cr,Y"	"A,W"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Eucalyptus 	B	odorata	peppermint box	"SA,V"				R	I	R	R	I	R	R	I	I	R	7-15	6-12	350	"Sa, Lo, Cl"	ANC	R	Cr	F	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Eucalyptus 	B	oleosa ssp oleosa	red mallee	"SA,N,V,W"	R		I	R	R	I	I	R	I		I	I	I	3-12	3-12	300	"Sa, Lo, Li"	ANC	R	W	"W, Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Eucalyptus 	B	orbifolia	round-leaved mallee	W														3-6	3-8	300	Sa.Lo	AN	M	"Cr,Y"	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Eucalyptus 	B	ovata var. ovata	swamp gum	"SA, N,V,T"											I	I	I	6-20	5-15	650	"Sa, Lo, Cl"	ANC	R	W	"A, W"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Eucalyptus 	B	pachyphylla	thick-leaved mallee	"Q,W,NT"														1-5	2-5	250	"Sa, Lo"	ANC	M	"Cr,Y"	"A, W"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Eucalyptus 	B	perriniana	spinning gum	"N,V, T"														4-10	4-8	650	"Sa, Lo, Cl"	AN/C	R	W	S	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Eucalyptus 	B	petiolaris 	Eyre Peninsula blue gum	SA							T							8-15	6-12	400	"Sa, Lo, Li"	ANC	M	"W,R,Y,O"	"W, Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Eucalyptus 	B	phenax ssp phenax	white mallee	"SA,W,V"				R			I		T	I	I	I	I	3-7	3-5	300	"Sa,Lo,Cl,Li"	ANC	R	Cr	"S, A"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Eucalyptus 	B	pimpiniana	Pimpin's mallee	"SA,W"	I		R	I										0.5-2	1-4	200	"Lo, Sa"	AN/C	M	Y	"S,A,W"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Eucalyptus 	B	platypus ssp platypus	round-leaved moort	W														3-8	3-8	400	"Sa,Lo,Cl,Li"	ANC	M	Y	"Sp, S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Eucalyptus 	B	pleurocarpa 	tallerack	W														2-5	3-6	500	"Sa,Lo,Cl"	AN/C	S	W	S	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Eucalyptus 	B	pluricaulis ssp pluricaulis	blue mallee	W														1.5-5	1.5-3	450	"Sa,Lo,Cl"	ANC	R	Y	"Sp,S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Eucalyptus 	B	polyanthemos	red box	"N,V"														10-25	5-15	500	"Sa,Lo,Cl"	AN	R	Cr	"Sp,S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Eucalyptus 	B	polybractea	blue mallee	"SA,N,V"					T		R							4-10	4-8	400	"Sa,Lo,Cl"	ANC	M	Cr	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Eucalyptus 	B	porosa	mallee box	"SA,N,V"				I	I	I	I	I	T	I	I		I	5-14	5-12	300	"Sa,Lo,Cl,Li"	ANC	M	W	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Eucalyptus 	B	preissiana ssp. preissiana	bell-fruited mallee	W														2-5	2-5	500	"Sa, Lo, Cl"	ANC	M	Y	"W, Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Eucalyptus 	B	pulverulenta	silver-leaved mountain gum	N														6-8	2-5	600	"Sa, Lo, Cl"	AN/C	R	W	"Sp, S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Eucalyptus 	B	pyriformis	pear-fruited mallee	W														2-5	4-6	300	"Sa, Lo, Li"	ANC	M	"Y, R"	"W, Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Eucalyptus 	B	rhodantha	rose mallee	W														1-3	2-3	400	"Sa,Lo"	AN/C	R	R	"S, A"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Eucalyptus 	B	robusta	swamp mahogany	"Q, N"														10-20	8-15	700	"Sa, Lo, Cl"	ANC	M	W	W. Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Eucalyptus 	B	rugosa	Kingscote mallee	SA							T		R	I	V	I	I	4-8	4-5	450	"Sa,Lo,Cl,Li"	ANC	M	Cr	S	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Eucalyptus 	B	saligna	Sydney blue gum	"Q, N"														20-40	10-25	750	"Sa,Lo, Cl"	AN	M	W	S	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Eucalyptus 	B	salmonophloia	salmon gum	W														10-25	8-15	250	"Lo, Cl, Li"	ANC	R	W	"Sp, S,A"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Eucalyptus 	B	salubris	gimlet	W														10-15	8-12	200	"Lo, Cl, Li"	ANC	R	W	"S, A"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Eucalyptus 	B	sargentii ssp sargentii	Salt River gum	W														7-12	6-9	300	"Sa,Lo,Cl,Li"	ANC	R	Cr	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Eucalyptus 	B	scoparia	Wallangarra white gum	"Q,N"														9-16	8-10	600	"Sa,Lo, Cl"	ANC	R	W	"S,A,W"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Eucalyptus 	B	sepulcralis	weeping mallee	W														5-10	3-6	550	"Sa,Lo"	AN/C	M	Cr	S	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Eucalyptus 	B	sideroxylon ssp. sideroxylon	red ironbark	"Q,N,V"														10-30	8-15	500	"Lo, Cl"	ANC	R	"Cr,Pk"	"A, W"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Eucalyptus 	B	sideroxylon 'Rosea'	red-flowered ironbark															10-20	8-15	500	"Lo, Cl"	ANC	R	Pk	"A, W"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Eucalyptus 	B	socialis ssp socialis	red mallee	"SA,N,V"		I		R	I	I	I	I	I	R	I		I	4-8	4-8	250	"Sa, Lo, Li"	ANC	R	Cr	"Sp, S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Eucalyptus 	B	spathulata ssp. spathulata	swamp mallet	W														6-12	6-10	350	"Sa,Lo,Cl,Li"	ANC	R	Cr	"Sp, S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Eucalyptus 	B	steedmanii	Steedman's mallet	W														6-8	5-7	300	"Sa,Lo,Cl,Li"	ANC	M	"Cr,Pk"	S	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Eucalyptus 	B	stoatei	scarlet pear gum	W														4-8	4-6	400	"Sa,Lo,Cl"	ANC	M	Y	A	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Eucalyptus 	B	stricklandii	Strickland's blackbutt	W														6-12	5-8	250	"Lo, Cl, Li"	ANC	M	Y	S	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Eucalyptus 	B	talyuberlup 	Stirling Range yate	W														5-8	5-8	500	"Sa,Lo,Cl,Li"	ANC	M	"Y,G"	"W,Sp,S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Eucalyptus 	B	tereticornis ssp. tereticornis	forest red gum	"N,Q"														20-30	10-25	600	"Sa,Lo,Cl"	AN	R	W	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Eucalyptus 	B	tetraptera	four-winged mallee	W														2-4	3-6	400	"Sa, Lo, Cl"	ANC	S	Pk	"Sp, S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Eucalyptus 	B	torquata	coral gum	W														6-11	6-10	250	"Lo, Cl, Li"	ANC	M	"Pk,Cr"	F	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Eucalyptus 	B	'Torwood'	hybrid coral gum															6-8	4-8	250	"Sa,Lo,Cl,Li"	ANC	M	Y/O	"W,Sp,S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Eucalyptus 	B	utilis   Syn: E. platypus var. heterophylla    coastal moort		W														3-10	3-8	350	"Sa,Lo,Cl,Li"	ANC	M	Cr	"Sp, S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Eucalyptus 	B	viminalis ssp cygnetensis	rough-barked manna gum	"SA,V"							R		R		I	R	I	6-20	8-20	550	"Sa, Lo, Cl"	ANC	M	W	"S, A"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
